с,В
14.3427,0.0000
14.3534,0.0102
14.3641,0.0000
14.3747,0.0102
14.3854,0.0000
14.3960,0.0102
14.4066,0.0000
14.4173,0.0102
14.4279,0.0051
14.4385,0.0102
14.4492,0.0051
14.4599,0.0051
14.4705,0.0000
14.4811,0.0051
14.4917,0.0102
14.5024,0.0000
14.5130,0.0102
14.5237,0.0000
14.5344,0.0102
14.5450,0.0000
14.5557,0.0152
14.5663,0.0000
14.5769,0.0051
14.5876,0.0000
14.5983,0.0051
14.6090,0.0000
14.6198,0.0000
14.6305,0.0051
14.6411,0.0000
14.6517,0.0152
14.6623,0.0000
14.6730,0.0152
14.6836,0.0000
14.6942,0.0102
14.7049,0.0000
14.7155,0.0152
14.7261,0.0000
14.7368,0.0102
14.7475,0.0000
14.7581,0.0051
14.7688,0.0000
14.7794,0.0051
14.7900,0.0102
14.8007,0.0000
14.8113,0.0102
14.8219,0.0000
14.8326,0.0102
14.8432,0.0000
14.8538,0.0102
14.8644,0.0000
14.8751,0.0102
14.8857,0.0000
14.8963,0.0102
14.9070,0.0000
14.9176,0.0102
14.9282,0.0000
